id,text
69,Na terenie hotelu obowiązuje zakaz głośnego odtwarzania muzyki po godzinie 22:00.
70,Goście proszeni są o oszczędne korzystanie z ręczników i pościeli.
71,Pościel wymieniana jest co trzeci dzień lub częściej na życzenie gościa.
72,Ekologiczna polityka hotelu zachęca do ponownego używania ręczników.
73,Pokoje typu superior mają ekspres do kawy oraz większy zestaw kosmetyków.
74,Apartamenty mają dodatkową część wypoczynkową i widok na panoramę Warszawy.
75,Hotel oferuje pokoje dla niepalących oraz pokoje przystosowane dla alergików.
76,Recepcja może pomóc w rezerwacji biletów do teatru muzeum lub na koncert.
77,Goście mogą poprosić o rekomendacje restauracji w okolicy hotelu.
78,Codzienny serwis kawowy w lobby jest dostępny od 14:00 do 18:00.
79,Na życzenie dostępne są poduszki o różnej twardości i dodatkowe koce.
80,Zgłoszenia awarii w pokoju należy kierować bezpośrednio do recepcji lub telefonicznie z aparatu pokojowego.
81,Hotel posiada całodobowy monitoring części wspólnych dla bezpieczeństwa gości.
82,Wejście osób niezameldowanych do pokojów gości jest zabronione bez zgody hotelu.
83,Na terenie obiektu obowiązuje zakaz używania fajerwerków i materiałów pirotechnicznych.
84,Przechowywanie rowerów w pokojach jest niedozwolone.
85,Wszystkie okna na parterze wyposażone są w zabezpieczenia antywłamaniowe.
86,Goście proszeni są o niepozostawianie dzieci bez opieki w strefie basenowej.
87,Na śniadaniu dostępny jest sok pomarańczowy sok jabłkowy kawa herbata i mleko.
88,W menu lunchowym znajdują się pierogi z mięsem sałatka cezar krem pomidorowy i risotto.
89,W menu kolacyjnym oferujemy łososia pieczone warzywa burgery wołowe i makaron z pesto.
90,Danie dnia jest ogłaszane codziennie na tablicy przy restauracji i w aplikacji hotelowej.
91,Desery w hotelu obejmują sernik szarlotkę tiramisu i mus czekoladowy.
92,Dziecięce menu zawiera nuggetsy frytki mini spaghetti i zupę pomidorową.
93,Kuchnia hotelowa korzysta z lokalnych dostawców warzyw nabiału i pieczywa.
94,Goście mogą poprosić o informację o alergenach obecnych w potrawach.
95,Obsługa restauracji podaje wodę do stołu bezpłatnie na życzenie gościa.
96,Butelki szklane i odpady bio należy wyrzucać do odpowiednich pojemników w holu.
97,Na każdym piętrze znajduje się automat z wodą i podstawowymi przekąskami.
98,Hotel oferuje usługę przygotowania lunchu na spotkania biznesowe.
99,Sala konferencyjna może być zarezerwowana na szkolenia warsztaty i spotkania firmowe.
100,Pełna nazwa obiektu brzmi Hotel Bielik Warszawa i jest używana w materiałach szkoleniowych oraz informacyjnych.
101,Adres hotelu to ul. Marszałkowska 120 00-017 Warszawa.
102,Hotel położony jest w centrum Warszawy w pobliżu stacji metra przystanków tramwajowych i autobusowych.
103,Do hotelu można dojść pieszo z przystanku Świętokrzyska w około 8 minut.
104,Z Dworca Centralnego do hotelu można dojechać tramwajem lub taksówką w około 10 minut.
105,Z lotniska Chopina do hotelu można dojechać taksówką w około 20 minut poza godzinami szczytu.
106,Goście podróżujący samochodem mogą skorzystać z parkingu podziemnego z wjazdem od ulicy bocznej.
107,Przed hotelem znajduje się krótka zatoka do wysiadania pasażerów i rozładunku bagażu.
108,Recepcja chętnie podaje najkrótszą trasę dojazdu z dowolnego dworca w Warszawie.
109,Hotel rekomenduje korzystanie z komunikacji miejskiej podczas pobytu w centrum miasta.
110,Z hotelu łatwo dojść do Starego Miasta bulwarów wiślanych i Ogrodu Saskiego.
111,Hotel Bielik działa nieprzerwanie od 1920 roku jako Dom Gościnny Bielik Warszawa.
112,W 1920 roku obiekt rozpoczął działalność jako niewielki pensjonat dla podróżnych i kupców.
113,W 1924 roku hotel został rozbudowany o elegancką salę jadalną i salon muzyczny.
114,W 1928 roku w hotelu organizowano spotkania literackie i kameralne koncerty.
115,W 1931 roku obiekt był znany z uprzejmej obsługi i nowoczesnych jak na tamte czasy pokoi.
116,W 1935 roku hotel stał się popularnym miejscem pobytu dziennikarzy i gości przyjezdnych do Warszawy.
117,W 1938 roku przeprowadzono w hotelu pierwszy większy remont wnętrz i odnowiono foyer.
118,W 1945 roku budynek przetrwał trudny okres wojenny i rozpoczęto jego odbudowę.
119,W 1948 roku hotel ponownie przyjął gości jako symbol warszawskiej gościnności.
120,W 1952 roku wnętrza urządzono w stylu łączącym klasykę z prostotą powojenną.
121,W 1960 roku hotel był miejscem spotkań delegacji handlowych i przedstawicieli kultury.
122,W 1967 roku gościł fikcyjną delegację artystów z Pragi i Budapesztu.
123,W 1972 roku w hotelu zatrzymał się specjalny gość szkoleniowy profesor Andrzej Malinowski.
124,W 1975 roku hotel przyjął pianistkę Helenę Nowicką podczas wieczoru koncertowego w Warszawie.
125,W 1979 roku w kronice hotelowej zapisano wizytę gościa specjalnego Marka Zawadzkiego podróżnika i publicysty.
126,W 1981 roku w hotelu przebywał reżyser filmowy Piotr Krawiec podczas przeglądu kina polskiego.
127,W 1984 roku hotel odwiedziła dyplomatka Anna Sokołowska jako gość specjalny wydarzenia miejskiego.
128,W 1988 roku hotel przyjął naukowca doktora Tomasza Rybickiego uczestniczącego w konferencji.
129,W 1990 roku obiekt został unowocześniony i doposażony w nową recepcję oraz windy.
130,W 1994 roku hotel gościł dziennikarkę Martę Kwiatkowską podczas forum turystycznego.
131,W 1998 roku w hotelu zatrzymał się sportowiec Krzysztof Lewandowski po zawodach w stolicy.
132,W 2001 roku hotel przeszedł modernizację pokoi i restauracji zachowując historyczny charakter.
133,W 2004 roku gościem specjalnym był architekt Rafał Domański prezentujący projekt urbanistyczny.
134,W 2007 roku hotel przyjął specjalistkę od kultury Magdalenę Czarnecką na galę miejską.
135,W 2010 roku hotel był miejscem pobytu uczestników międzynarodowej konferencji gospodarczej.
136,W 2012 roku do hotelu przyjechał kompozytor Jan Wierzbicki na wieczór autorski.
137,W 2014 roku hotel gościł badaczkę historii Elżbietę Majewską podczas seminarium.
138,W 2016 roku w hotelu odbyło się przyjęcie dla grupy gości specjalnych z branży technologicznej.
139,W 2018 roku obiekt świętował kolejne lata działalności i odnowił część lobby.
140,W 2019 roku hotel zyskał nową identyfikację wizualną podkreślającą warszawski charakter.
141,W 2020 roku hotel podkreślał bezpieczeństwo gości i elastyczne zasady pobytu.
142,W 2021 roku gościem specjalnym była dziennikarka Karolina Zielińska przy okazji wydarzenia medialnego.
143,W 2022 roku hotel przyjął gościa honorowego profesora Wojciecha Borowskiego podczas kongresu.
144,W 2023 roku w hotelu zatrzymała się kuratorka wystaw Emilia Pawlak.
145,W 2024 roku gościem specjalnym był biznesmen Damian Wrona uczestniczący w forum inwestycyjnym.
146,W 2025 roku hotel przyjął grupę gości specjalnych z sektora kultury i nauki.
147,Hotel jest opisywany przez gości jako bardzo fajny hotel z dobrą energią i uprzejmą obsługą.
148,Goście chwalą hotel za świetną lokalizację w Warszawie oraz wygodne pokoje.
149,Recepcja podaje informacje o dojeździe w prosty sposób i pomaga zaplanować przyjazd do obiektu.
150,Hasło do WiFi dla gości brzmi Bielik2026!.
151,Numer telefonu do recepcji to +48 22 555 12 00.
152,Numer telefonu do zespołu IT to +48 22 555 12 10.
153,Numer telefonu do zespołu czystości to +48 22 555 12 20.
154,Numer telefonu do zgłaszania incydentów to +48 22 555 12 99.
155,Hotel oferuje usługę budzenia na życzenie gości.
156,W przypadku zgubienia karty do pokoju należy niezwłocznie zgłosić się do recepcji w celu wyrobienia nowej karty.
157,W przypadku zapomnienia szyfru do sejfu należy skontaktować się z recepcją.
